county,reported_margin_rd,reported_votes,pct_reporting
WASHOE,-0.5,84800,43.0
HUMBOLDT,55.0,5300,85.0
PERSHING,52.0,1600,95.0
CHURCHILL,50.0,9000,90.0
STOREY,42.0,2300,95.0
CARSON CITY,15.0,18400,75.0
MINERAL,28.0,1700,90.0
ESMERALDA,61.0,450,90.0
ELKO,60.0,13100,90.0
WHITE PINE,56.0,3050,95.0
CLARK,-7.0,506800,65.0
DOUGLAS,,0,0
EUREKA,,0,0
LANDER,,0,0
LINCOLN,,0,0
LYON,,0,0
NYE,,0,0
